4742.5,42.10,0.001,51.027,0.00046,0.01114
4739.1,42.50,0.001,50.991,0.00046,0.01115
4736.1,42.90,0.001,50.958,0.00046,0.01117
4733.3,43.30,0.001,50.928,0.00046,0.01118
4730.8,43.70,0.001,50.901,0.00046,0.01119
4728.4,44.10,0.001,50.875,0.00046,0.01120
4726.3,44.50,0.001,50.853,0.00046,0.01121
4724.2,44.90,0.001,50.830,0.00046,0.01121
4722.1,45.30,0.001,50.808,0.00046,0.01122
4720.4,45.70,0.001,50.789,0.00046,0.01123
4718.7,46.10,0.001,50.771,0.00046,0.01124
4717.2,46.50,0.001,50.755,0.00046,0.01124
4715.6,46.90,0.001,50.737,0.00046,0.01125
4714.1,47.30,0.001,50.722,0.00046,0.01126
4712.8,47.70,0.001,50.707,0.00046,0.01126
4711.4,48.10,0.001,50.692,0.00046,0.01127
4710.2,48.50,0.001,50.679,0.00046,0.01127
4709.0,48.90,0.001,50.666,0.00046,0.01128
4707.8,49.30,0.001,50.653,0.00046,0.01128
4706.6,49.70,0.001,50.640,0.00046,0.01129
4705.4,50.10,0.001,50.628,0.00046,0.01129
4704.5,50.50,0.001,50.618,0.00046,0.01129
4703.5,50.90,0.001,50.607,0.00046,0.01130
4702.4,51.30,0.001,50.596,0.00046,0.01130
4701.4,51.70,0.001,50.584,0.00046,0.01131
4700.4,52.10,0.001,50.574,0.00046,0.01131
4699.4,52.50,0.001,50.563,0.00046,0.01131
4698.2,52.90,0.001,50.550,0.00046,0.01132
4697.1,53.30,0.001,50.539,0.00046,0.01132
4696.3,53.70,0.001,50.530,0.00046,0.01132
4695.3,54.10,0.001,50.519,0.00046,0.01133
4694.5,54.50,0.001,50.510,0.00046,0.01133
4693.7,54.90,0.001,50.502,0.00046,0.01133
4692.9,55.30,0.001,50.494,0.00046,0.01134
4692.2,55.70,0.001,50.486,0.00046,0.01134
4691.5,56.10,0.001,50.478,0.00046,0.01134
4690.7,56.50,0.001,50.470,0.00046,0.01135
4690.0,56.90,0.001,50.462,0.00046,0.01135
4689.4,57.30,0.001,50.456,0.00046,0.01135
4688.7,57.70,0.001,50.448,0.00046,0.01136
4688.1,58.10,0.001,50.442,0.00046,0.01136
4687.5,58.50,0.001,50.435,0.00046,0.01136
4686.8,58.90,0.001,50.428,0.00046,0.01136
4686.2,59.30,0.001,50.422,0.00046,0.01136
4685.7,59.70,0.001,50.416,0.00046,0.01137
4685.1,60.10,0.001,50.409,0.00046,0.01137
4684.6,60.50,0.001,50.404,0.00046,0.01137
4684.1,60.90,0.001,50.398,0.00046,0.01138
4683.6,61.30,0.001,50.393,0.00046,0.01138
4683.1,61.70,0.001,50.388,0.00046,0.01138
4682.5,62.10,0.001,50.381,0.00046,0.01139
4682.0,62.50,0.001,50.376,0.00046,0.01140
4681.6,62.90,0.001,50.371,0.00046,0.01142
4681.0,63.30,0.001,50.365,0.00046,0.01147
4680.5,63.70,0.001,50.360,0.00046,0.01154
